UNIQUE_CELL_ID	UNIQUE_CELL_NAME	TCGA-32-1970-01	TCGA-28-5218-01	TCGA-19-2619-01	TCGA-32-2634-01	TCGA-06-5415-01	TCGA-26-5134-01	TCGA-32-1982-01	TCGA-19-2620-01	TCGA-32-2638-01	TCGA-06-5416-01	TCGA-26-5135-01	TCGA-12-1597-01	TCGA-19-2624-01	TCGA-41-2571-01	TCGA-06-5417-01	TCGA-26-5136-01	TCGA-28-5216-01	TCGA-76-4929-01	TCGA-06-5413-01	TCGA-28-2510-01	TCGA-26-5139-01	TCGA-06-5418-01	TCGA-12-5299-01	TCGA-32-4213-01	TCGA-28-2499-01	TCGA-12-3652-01	TCGA-19-2629-01	TCGA-41-2572-01	TCGA-12-5295-01	TCGA-28-2509-01	TCGA-12-3653-01	TCGA-32-2615-01	TCGA-41-3915-01	TCGA-26-5133-01	TCGA-28-2513-01	TCGA-19-1390-01	TCGA-32-2616-01	TCGA-41-4097-01	TCGA-26-5132-01	TCGA-28-2514-01	TCGA-19-1787-01	TCGA-32-2632-01	TCGA-06-5414-01	TCGA-06-0190-02	TCGA-76-4927-01	TCGA-06-5411-01	TCGA-19-5960-01	TCGA-28-5215-01	TCGA-76-4928-01	TCGA-06-5412-01	TCGA-26-1442-01	TCGA-06-0211-02	TCGA-06-0125-02	TCGA-06-0221-02	TCGA-28-5213-01	TCGA-06-0152-02	TCGA-06-0171-02	TCGA-06-0210-02	TCGA-14-0736-02	TCGA-19-0957-02	TCGA-19-1389-02	TCGA-14-1034-02	TCGA-14-1402-02	TCGA-19-4065-02	TCGA-06-5859-01	TCGA-06-5856-01	TCGA-32-1980-01	TCGA-28-5204-01	TCGA-28-5220-01	TCGA-76-4932-01	TCGA-06-5858-01	TCGA-41-5651-01	TCGA-28-5207-01	TCGA-32-5222-01	TCGA-06-1804-01	TCGA-76-4931-01	TCGA-28-5208-01	TCGA-76-4925-01	TCGA-06-5408-01	TCGA-14-0781-01	TCGA-19-4065-01	TCGA-28-5209-01	TCGA-76-4926-01	TCGA-06-5410-01	TCGA-15-1444-01	TCGA-06-0139-01	TCGA-06-0747-01	TCGA-06-0129-01	TCGA-06-0157-01	TCGA-06-0190-01	TCGA-12-0618-01	TCGA-06-0749-01	TCGA-06-0130-01	TCGA-06-0158-01	TCGA-12-0619-01	TCGA-06-0750-01	TCGA-12-0616-01	TCGA-06-0168-01	TCGA-06-0210-01	TCGA-06-0238-01	TCGA-06-0649-01	TCGA-15-0742-01	TCGA-06-0141-01	TCGA-06-0644-01	TCGA-06-0686-01	TCGA-06-0878-01	TCGA-06-2557-01	TCGA-06-0646-01	TCGA-02-0047-01	TCGA-06-0132-01	TCGA-06-0174-01	TCGA-06-0211-01	TCGA-06-0645-01	TCGA-06-0743-01	TCGA-02-0055-01	TCGA-06-0138-01	TCGA-06-0178-01	TCGA-06-0211-01	TCGA-19-2625-01	TCGA-06-0744-01	TCGA-06-0125-01	TCGA-06-0156-01	TCGA-06-0184-01	TCGA-08-0386-01	TCGA-06-0745-01	TCGA-06-0156-01	TCGA-06-0187-01	TCGA-06-0219-01	TCGA-06-2564-01	TCGA-27-2526-01	TCGA-14-0817-01	TCGA-14-1823-01	TCGA-02-2483-01	TCGA-06-2563-01	TCGA-27-1831-01	TCGA-27-2528-01	TCGA-14-0871-01	TCGA-14-1825-01	TCGA-02-2485-01	TCGA-27-2519-01	TCGA-27-1835-01	TCGA-28-1747-01	TCGA-16-0846-01	TCGA-14-1829-01	TCGA-02-2486-01	TCGA-06-2565-01	TCGA-27-1837-01	TCGA-28-1753-01	TCGA-12-3650-01	TCGA-06-2562-01	TCGA-06-2567-01	TCGA-06-0882-01	TCGA-14-1034-01	TCGA-06-2558-01	TCGA-06-2569-01	TCGA-27-2521-01	TCGA-12-0821-01	TCGA-27-1830-01	TCGA-06-2559-01	TCGA-06-2570-01	TCGA-14-0787-01	TCGA-27-1832-01	TCGA-06-2561-01	TCGA-14-0790-01	TCGA-27-2524-01	TCGA-14-0789-01	TCGA-16-1045-01	TCGA-27-1834-01	TCGA-14-2554-01	TCGA-27-2523-01	TCGA-06-0681-11	TCGA-06-0675-11	TCGA-06-0680-11	TCGA-06-AABW-11	TCGA-06-0678-11
4	NAIVE_B_CELL	0.007217043	0.030963685	0	0	0.004359061	0.002673658	0.003625396	0.014449344	0.008199532	0	0.003773383	0	0.016711492	0.030164761	0	0.032480124	0	0	0.002467487	0.056354817	0.005177411	0	0.001177635	0	0.004460571	0.007614951	0	0	0.002322788	0	0.00235983	0	0.001841309	0	0	0.008042399	0	0	0.002198397	0.009254299	0	0.003403347	0.005712819	0	0.003392228	0	0	0.034648157	0.010453145	0	0.005208768	0.005338221	0	0.006943657	0	0.010632455	0.002424344	0.000824944	0.040349694	0.002589675	0.009119947	0	0.007900478	0	0.0013728	0	0.005121987	0.0103824	0.007426459	0.011970972	0	0	0	0	0	0.00527049	0	0.014928937	0.005449488	0.048195227	0	0.004363079	0	0.006013505	0	0.008677429	0	0.047284545	0	0	0.014036121	0	0.004841275	0	0.008505043	0	0.006117158	0.001434506	0.002862378	0	0.04612395	0.009332959	0.005432721	0	0	0	0.027385785	0	0	0.008918701	0.000334609	0.001337335	0.004636246	0	0	0	0	0.001597703	0.026180011	0	0.012726965	0.000202984	0.007012576	0.009808334	0	0	0	0.004443077	0.002009564	0.004685986	0	0	0	0.009103011	0	0.011980932	0	0	0	0	0	0.004617235	0	0	0.005789691	0.002095574	0.002801556	0	0	0.005309726	0	0.001328227	0	0	0	0	0.000337218	0	0.007082546	0	0	0.006394791	0.000640988	0.015337649	0.002104933	0.007974453	0.014382268	0	0.003408996	0.001893388	0.030974904	0	0	0	0
2	MEMORY_B_CELL	0	0	0.020293734	0.000207781	0.02640155	0.014876151	0.006828259	0	0	0.004564372	0.004349756	0.04370581	0	0	0.001782018	0	0.007895361	0.002926072	0.034002251	0	0	0.031089613	0.001320731	0.022691361	0	0	0.003624515	0.007805145	0.001507087	0.017884706	0	0.014182815	0.009108967	0.058417909	0.020967638	0	0.041137281	0.021206668	0.014858835	0.00353696	0.054680901	0.017856901	0	0.004020176	0.001715398	0.020618344	0	0	0	0.007486067	0	0.0115895	0.008936364	0.036223095	0.032642529	0	0	0.01207115	0	0.008879626	0	0.012762112	0.002047464	0.017526922	0.006702966	0.007070479	0.010363224	0.038996516	0.010728672	0	0.005162027	0.065846674	0.015730617	0.002577404	0.064855665	0.00259715	0.038523592	0	0.002688459	0	0.094899805	0.009584403	0.061861185	0.010200726	0.007334469	0	0.014532273	0	0.018689957	0.001607826	0	0.043056815	0	0.013213195	0.016698136	0.041642428	0	0.04038088	0.007112382	0.041343919	0	0.004152376	0.01556923	0.02080272	0.010165108	0.007200663	0	0.003015285	0.014364386	0	0.001762177	0.002377937	0.005142308	0.032760439	0.005958078	0.00480125	0.020449803	0.004211647	0.0000273	0.013464479	0	0.024198393	0	0	0.009753139	0.020760889	0.005969299	0.012555656	0	0.021562919	0.00607966	0.005989489	0.001549132	0	0.000636326	0	0.002506109	0.035295798	0.016485737	0.065332516	0.002858191	0	0.011846378	0.015957098	0	0.013721743	0	0.024062488	0.012889212	0.004227599	0.009766584	0.001746975	0.010543582	0.022594135	0	0.01545031	0	0.01634447	0	0.020508655	0.078496007	0.021397434	0.002083917	0	0.00132891	0.006490404	0	0.038037209	0.01178685	0.015949908	0.0453709	0.018772593	0.026340531	0.050278362	0.009447777
16	PLASMA_CELL	0	0.003592093	0	0.002292245	0	0	0	0	0	0.048721295	0	0	0	0.00038649	0	0.006539691	0	0	0	0	0	0.000376465	0.000368976	0	0	0	0	0.003222413	0	0	0	0	0.002236927	0.015848777	0	0	0.001499581	0.002930728	0	0	0	0	0	0	0	0.006641723	0	0.0231505	0.000847793	0	0	0	0.001710787	0	0	0	0.000270374	0.000284251	0.166836311	0	0	0	0.02537115	0	0	0.003359511	0	0	0	0	0	0.012206566	0	0.001238378	0	0	0.002648334	0	0.000685752	0	0	0	0	0	0	0.006012593	0.006311915	0.011130856	0	0.000392855	0	0	0	0	0	0.000784773	0.030143312	0	0	0	0.017058295	0	0	0	0.000403327	0.001514105	0.014138929	0	0	0.000131118	0	0	0.000402785	0.005730116	0.006196791	0.000919007	0.01936371	0	0.000619129	0	0	0.010682589	0	0	0	0.008793173	0	0	0	0	0	0	0.001972909	0	0	0	0	0	0.006619544	0	0	0	0.003115423	0	0.000746418	0	0.003016869	0	0	0	0.001957565	0	0	0	0	0	0.001011248	0.013904714	0	0	0	0	0	0	0.001106145	0	0	0	0	0	0.019227687	0.002626022	0	0	0
39	CD8+_CYTOTOXIC_T_LYMPHOCYTE	0.072711337	0.163412886	0.024291098	0.023883683	0.172869909	0.125685922	0.053959833	0.046849402	0	0.078325581	0.02776844	0	0.068206288	0.060939449	0.044603098	0.033781941	0.091826229	0.041723983	0.068363576	0.117908133	0.054076326	0	0.009864388	0.065838832	0.056479473	0.067004549	0.017513626	0.055122674	0.081017825	0.062044032	0.041700067	0	0.111508622	0.081164165	0	0.039796695	0.067918358	0.078055025	0.069977162	0.116304696	0.066243733	0.072764492	0	0.033862045	0.033102462	0.07179675	0.070435256	0.030885782	0.035349805	0.025073081	0.037727097	0.033670982	0.073684065	0.080524792	0.040634932	0.007702241	0.02405884	0.079608043	0.051833336	0.080410155	0.017574697	0.018866778	0.100186082	0.041477825	0.063023481	0.015126959	0.041268116	0.055656702	0.032021351	0.035295113	0	0.088106472	0.047908636	0	0.026616243	0.051534582	0	0.081846358	0.00334779	0.025312073	0	0	0.03862569	0.019367419	0.003009216	0.017927226	0.057451882	0.009759586	0.033220835	0.014284047	0.044242218	0.052830679	0.097803575	0.038751785	0.042095774	0.044457652	0.149780158	0.041176437	0.033838107	0.031304856	0.066075784	0.061385114	0.040724936	0.057080089	0.02491343	0	0.043066027	0.002636272	0.021008811	0.029727243	0.004222119	0.012333053	0.02429718	0.082997909	0.020465832	0.033728557	0.052458326	0	0.039219058	0.098962683	0	0.096719848	0	0	0.02096131	0.066241957	0.004173529	0.055635892	0.022286232	0.214572439	0.018759133	0.041591027	0.047631069	0	0.057425084	0	0.107826259	0.032415674	0.015522784	0.054474604	0	0.046331735	0.07040971	0.033310573	0.061883437	0.049496398	0.020751197	0.020036005	0.120698742	0.032818118	0.002313502	0.038064051	0.036872869	0.05552635	0.032916879	0.020771783	0.041349478	0.0378357	0.081919035	0.028502974	0.041842267	0.077650539	0.105485387	0.02919691	0	0	0.020541694	0.029919832	0.052159974	0	0.066354616	0.236146929	0.057792807	0	0.066731519
23	NAIVE_CD4+_T_CELL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010635193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00299172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001630601	0	0	0	0	0	0	0	0	0	0.025464299	0	0	0.088249368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04006652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019267458	0	0	0	0	0	0	0	0	0.00612934	0.093616291	0
33	CENTRAL_CD4+_MEMORY_T_(TCM)_CELL	0.156809146	0	0.095430635	0.025438354	0.108866385	0.072627811	0.068482959	0.064675504	0.105080302	0	0.106747638	0.051775552	0.088129362	0	0.091313316	0.110200478	0.12114239	0.091182289	0.060194139	0.103101929	0.156533538	0.086630826	0.142012303	0.11604123	0.122426905	0.025918013	0.10949505	0.047757494	0.083130929	0.108647471	0.153408405	0.207743122	0.050485553	0.038644291	0.137293853	0.137777787	0.097327219	0.095647016	0.056605916	0.090142452	0.024960295	0.087613481	0.198293705	0.119521031	0.162618092	0.043265571	0.212609023	0.035057806	0.079751325	0.030038877	0.090453937	0.077041122	0.197907197	0.15564741	0.074881586	0.203538637	0.046597748	0.081449037	0.081919927	0.252976679	0.072649543	0.215540081	0.081881751	0	0.14261741	0.032906409	0.093937366	0.138926592	0.077306631	0.002866006	0.024574503	0.233609823	0.084578401	0.073155738	0.089431298	0.125519204	0.045329257	0.066094293	0.003202009	0.077185805	0.05692161	0.0378387	0.129796324	0.048244397	0.037095441	0.009650887	0.125345317	0.024333382	0.071247661	0.034201963	0.138553977	0.108482735	0	0.045480883	0.030974795	0.152616411	0.0664717	0.079655397	0.150109313	0.098094173	0.047450101	0.071277512	0.04199525	0.098209064	0.116957617	0.070580762	0.0642976	0.017139221	0.090354428	0.07451546	0	0.049722862	0.087435373	0.004213417	0.03357391	0.019170834	0.008016279	0	0.127071296	0.052117879	0	0.101926213	0.090425611	0.064906103	0.008865718	0.092870205	0.221711781	0.176708151	0.118581705	0.049738459	0.052262876	0.183247107	0	0.097893691	0.066919302	0.034827114	0.138101816	0.175678556	0	0.179620207	0.0201523	0.183281311	0.078087923	0.094867011	0.050163377	0.133339709	0.185934987	0	0.032873613	0.094183762	0.030527801	0.14088045	0.024048233	0.104870749	0.20440389	0.042902438	0.015943407	0	0.077360013	0.008138302	0.152424537	0.071195622	0.077871759	0.000682591	0.029807007	0.176264533	0.100860445	0.055118353	0.186635813	0.017240957	0.049934132	0.067757133	0.01760651	0	0.008923092
35	EFFECTOR_CD4+_MEMORY_T_(TEM)_CELL	0	0.024738957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001410292	0.004642161	0	0	0	0	0	0.004581125	0	0	0	0	0	0	0	0	0	0	0	0	0.0694373	0	0	0	0	0	0.01607303	0	0	0.004347701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011604114	0	0	0	0	0	0	0	0	0	0	0.007768727	0	0	0	0	0	0	0	0	0.006747741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005090926	0.011994378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	FOLLICULAR_HELPER_(TFH)_T_CELL	0.062176043	0.085905433	0.058854327	0.056679927	0.043229812	0.007462837	0.054769349	0.012857332	0.010208353	0.086225666	0.02051348	0.05030617	0.130717334	0.064283543	0.064560583	0.035538917	0.006194941	0.004677201	0.024786659	0.054431296	0.022198111	0.011627404	0.006174481	0.025584877	0.018354027	0.018448283	0.005840511	0.039047202	0.014311664	0.020436674	0.026190197	0.012269793	0.011853176	0	0.02992461	0	0.038881969	0.021219553	0.073273378	0.026073279	0.017780977	0.015473713	0.015506799	0	0.018451373	0.002094197	0.103288939	0.034641445	0.002763861	0.015139487	0.003477758	0.014323749	0.011553106	0	0	0.038863449	0.005328698	0.007949276	0.038257383	0.006642361	0.017534355	0.001807675	0.040877281	0.086976339	0.008356999	0	0.009370115	0.009892491	0.0089062	0.011910429	0.023542348	0.039161144	0.011867575	0.005316992	0.027506092	0.01323565	0.124669126	0.009726995	0.031230107	0.003899337	0.017887881	0.024229064	0.019141798	0	0.027602602	0.042645591	0.074424891	0.029319243	0.016534573	0.047731384	0.05408284	0.036466347	0.036328952	0.047749625	0.021909859	0.025861571	0.049304729	0.021777415	0.012410683	0.044718717	0.017230769	0.011333879	0.004522768	0.027795962	0.042309468	0.016497118	0.03717075	0.03360976	0.028437053	0.003769786	0.020051123	0.039189895	0.013726304	0.088571151	0.008749279	0.037032609	0.025035214	0.039841446	0.006799639	0.121024893	0.026580574	0.02286095	0.010194983	0.017043658	0.063646671	0	0.009351793	0.021831915	0.007935029	0.051255943	0.024472125	0.005112266	0.040820392	0.003368368	0.014938044	0.046724413	0.074043624	0.067574318	0.198057478	0.011765582	0.036508956	0.005822017	0.013562696	0	0.031464861	0.004819767	0.033625934	0.041660235	0.024764954	0.009684095	0.062243184	0.005481459	0.013867938	0.006678255	0.005741516	0.013694293	0.054115023	0.04051659	0.04088587	0.0243384	0.011674051	0.033848821	0.014099947	0.084456332	0.048215231	0.028704579	0.010515124	0.017040677	0	0.015746878	0.060349037	0.047869303	0.076500756	0.055808573	0.100135598
38	REGULATORY_T_(TREG)_CELL	0.009481471	0.021758183	0.0192593	0	0.019382256	0.009654657	0	0	0.007327582	0	0.038203033	0	0	0	0	0	0.012379582	0.000230869	0	0.014117026	0.039713514	0	0.015831432	0.011566905	0.006514702	0.004769526	0	0	0	0	0.002711961	0.00616201	0.001087763	0.030270829	0.016507525	0	0.01796925	0.011782568	0.037810372	0.041927223	0.010910638	0.031652738	0.013868884	0	0.027450324	0	0	0	0	0.019394149	0.011582652	0.03524577	0	0.004769623	0.040572819	0.042211489	0.003035175	0.001803417	0	0	0	0.010454873	0	0	0	0	0.010716799	0.008198663	0	0.007549824	0	0	0	0	0.004452224	0.015574156	0	0.039908371	0.014897083	0.021210083	0	0.02202742	0.011313424	0.008914286	0	0	0.002917474	0	0	0	0	0	0.010397399	0.01851068	0.011009061	0	0	0.02569896	0	0	0.002033911	0.041590175	0	0.028787515	0.02947879	0.010150632	0.002871114	0	0.019105289	0.00924219	0.026019265	0.016213638	0.011848133	0	0	0	0	0	0.009933243	0	0	0	0	0.007443309	0	0.00486032	0.037760262	0	0.000198015	0.010693868	0	0.01678749	0	0	0	0	0	0.01978588	0	0.014035874	0	0	0	0	0.02451085	0.00210856	0	0.013697278	0.012967392	0.018013633	0	0.000425975	0	0.002284709	0.012316936	0	0.026658855	0	0.020359291	0	0	0.031087857	0	0	0.01208964	0.03947164	0.000997474	0	0.003092463	0.010695008	0	0	0	0	0
40	GAMMA_DELTA_T_CELL	0	0	0	0	0	0	0	0	0	0.007446612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053484051	0	0	0.007380335	0	0	0	0	0	0.017234826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011353132	0	0	0	0	0	0	0	0	0	0	0	0.002937095	0	0	0.017677168	0	0	0.017665016	0	0.011756018	0	0	0.058105725	0	0	0	0	0	0	0	0.0223769	0	0	0.028684581	0	0	0	0	0	0	0	0	0	0	0	0	0.021913435	0	0	0	0	0.004928473	0	0	0	0	0	0	0	0	0	0.023812937	0	0	0	0	0	0	0	0	0	0	0	0	0.017575674	0.039014181	0	0	0	0.054340986	0	0.087160821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054758315	0	0	0	0	0.018424901	0	0	0	0	0
