UNIQUE_CELL_ID	UNIQUE_CELL_NAME	TCGA-KL-8344-01	TCGA-KL-8329-01	TCGA-KL-8335-01	TCGA-KL-8343-01	TCGA-KN-8434-01	TCGA-KO-8410-01	TCGA-KO-8407-01	TCGA-KO-8416-01	TCGA-KL-8324-01	TCGA-KN-8429-01	TCGA-KO-8413-01	TCGA-KL-8331-01	TCGA-KL-8339-01	TCGA-KM-8438-01	TCGA-KN-8418-01	TCGA-KM-8439-01	TCGA-KO-8403-01	TCGA-KL-8346-01	TCGA-KL-8336-01	TCGA-KN-8431-01	TCGA-KO-8405-01	TCGA-KL-8330-01	TCGA-KO-8406-01	TCGA-KO-8414-01	TCGA-KO-8415-01	TCGA-KN-8433-01	TCGA-KL-8338-01	TCGA-KM-8443-01	TCGA-KM-8476-01	TCGA-KL-8337-01	TCGA-KN-8424-01	TCGA-KN-8426-01	TCGA-KL-8345-01	TCGA-KN-8432-01	TCGA-KO-8404-01	TCGA-KM-8442-01	TCGA-KL-8328-01	TCGA-KN-8425-01	TCGA-KN-8419-11	TCGA-KN-8427-11	TCGA-KL-8339-11	TCGA-KN-8429-11	TCGA-KL-8336-11	TCGA-KL-8332-11	TCGA-KN-8422-11	TCGA-KN-8425-11	TCGA-KN-8432-11	TCGA-KN-8433-11	TCGA-KN-8434-11	TCGA-KN-8436-11	TCGA-KN-8426-11	TCGA-KN-8435-11	TCGA-KN-8437-11	TCGA-KN-8428-11	TCGA-KN-8422-01	TCGA-KO-8409-01	TCGA-KN-8427-01	TCGA-KL-8325-01	TCGA-KL-8326-01	TCGA-KL-8334-01	TCGA-KL-8341-01	TCGA-KM-8441-01	TCGA-KM-8477-01	TCGA-KM-8639-01	TCGA-KN-8428-01	TCGA-KN-8419-01	TCGA-KN-8436-01	TCGA-KO-8408-01	TCGA-KL-8326-11	TCGA-KN-8431-11	TCGA-KN-8424-11	TCGA-KL-8324-11	TCGA-KN-8423-11	TCGA-KN-8430-11	TCGA-KO-8403-11	TCGA-KO-8415-11	TCGA-KL-8329-11	TCGA-KN-8435-01	TCGA-KL-8342-01	TCGA-KL-8333-01	TCGA-KN-8421-01	TCGA-KO-8417-01	TCGA-KL-8327-01	TCGA-KM-8440-01	TCGA-KN-8430-01	TCGA-KL-8323-01	TCGA-KL-8332-01	TCGA-KN-8423-01	TCGA-KN-8437-01	TCGA-KL-8340-01	TCGA-KO-8411-01
4	NAIVE_B_CELL	0.035228191	0	0	0.009815331	0.013847653	0.114148184	0.059973063	0.002043173	0.029030188	0.060349295	0.010930067	0.011069372	0.003614136	0.080016715	0.056759698	0.00485504	0.027225579	0.013753598	0.006477994	0	0.000396617	0	0.010134902	0	0.008243145	0.005631414	0	0	0.024839268	0	0.031073228	0	0	0.013622854	0.002749897	0	0	0.021531889	0.072418341	0	0.0384419	0.032931399	0.012515216	0	0.058559245	0.013596451	0	0.02843741	0.065329211	0.062547688	0.034566143	0.199823989	0.066789873	0.132465444	0.019327324	0.040413242	0	0.007477941	0.275631513	0.083244511	0	0.024707227	0.008967579	0	0.020369256	0.093587921	0	0	0.132366165	0.021061711	0.030491218	0.079471439	0.015304661	0	0.039344494	0.099660704	0.017292695	0	0.027201418	0.116673435	0	0	0	0	0.053467204	0.042173674	0.115542161	0.091452072	0	0.020142918	0.016068249
2	MEMORY_B_CELL	0	0.006419329	0.025336282	0.023023411	0.007072395	0	0	0.019402992	0.005002517	0	0	0	0.000858402	0	0	0	0.012915997	0	0.004212818	0.030939652	0.015395615	0.100611833	0	0.036315301	0	0	0.072601742	0	0.006301864	0.003061075	0	0.051827644	0.047868853	0	0.003106825	0.047282564	0.013325179	0.019403435	0	0.047768097	0	0	0.014360754	0.02700304	0	0.094018836	0.039282881	0.012132553	0	0.084584195	0	0	0	0	0	0	0	0	0	0	0.047545216	0	0	0	0.034184283	0	0.018519708	0.037784518	0.320373418	0	0.022871322	0	0.052218025	0.129831394	0	0	0.058030243	0.068587628	0	0.066569354	0.102517554	0.068022508	0.108605117	0.076001642	0	0	0	0	0.029624926	0	0
16	PLASMA_CELL	0	0.008901205	0	0	0	0.021405152	0.041205281	0.026171982	0	0.0349947	0.049258971	0.005569773	0	0.056154023	0.052877641	0.024725707	0	0	0.003793611	0.01398987	0.013410839	0.019366164	0	0.004755001	0.006373091	0.061369076	0	0.008333072	0.01790334	0	0.003262574	0.003105514	0	0	0	0.005832598	0.001246732	0.031536818	0.056702878	0.031629859	0.055326349	0	0	0.013568016	0.094806478	0.001506004	0	0.075252966	0.068410349	0.030233702	0	0.091741756	0.200439889	0.152719638	0	0.005348295	0.05610231	0.000200388	0.102069703	0.009145794	0.015088305	0.023544818	0	0.033372659	0.119478688	0.019909498	0	0.052856479	0.064263645	0	0.028993115	0.142489984	0.009632656	0	0.000509215	0.056127724	0.041445289	0	0.013825796	0	0.027886742	0.004002706	0	0.012045634	0.035750016	0.014140844	0.050851975	0.061281371	0.014679187	0	0
39	CD8+_CYTOTOXIC_T_LYMPHOCYTE	0.040105877	0.173115965	0.168340905	0.055354545	0.024119675	0.060936817	0.136579996	0.009206555	0.067020242	0.020136367	0.102922985	0.048468187	0.127563774	0.052898821	0	0.081504269	0.020390844	0.07822568	0.115381571	0.05532607	0.073380424	0.031684139	0.047470406	0.018800219	0.046952917	0.085317941	0.16552805	0.017734922	0.063053749	0.068356281	0	0.041394364	0.027197612	0.052028559	0.02043244	0.086625002	0.022988956	0.033749818	0.012363642	0.109164789	0.126307063	0.12141401	0.086357433	0.082736085	0.094375952	0.12050444	0.110183203	0.119267187	0.166076745	0.095825491	0.140321568	0.048901277	0.101973046	0.085151924	0.1317216	0.051475231	0.214661765	0.024265273	0.031008568	0.022196506	0	0.043239013	0	0.108737414	0.238163745	0.079438545	0.02570405	0.060633749	0.114492494	0.152200942	0.054587628	0.145909471	0.119194307	0.027053303	0.221977111	0.059617164	0.108914803	0.058221597	0.028150187	0.06856386	0	0.065083926	0.055139597	0.015741554	0.122702874	0.039606716	0.060067909	0.053873232	0.016938958	0.053570959	0.053272293
23	NAIVE_CD4+_T_CELL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138525139	0	0	0	0	0	0	0.004779116	0	0	0	0	0	0.015800352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040058644	0	0	0	0	0	0	0	0	0	0	0	0	0.004032985	0	0	0	0	0	0	0	0	0	0	0	0	0.065200706	0	0	0	0	0	0	0	0	0	0
33	CENTRAL_CD4+_MEMORY_T_(TCM)_CELL	0.126977485	0.083953797	0.151440851	0.157008833	0.102199003	0.157467162	0	0.054615663	0.197127639	0.083370695	0.075664331	0.100081028	0.074893536	0.163324256	0.146314011	0.108407335	0.088032565	0.412631499	0.148186002	0.172450873	0.083082356	0.01546589	0.25556051	0.135287069	0.058168415	0.075592181	0.095733503	0.273704579	0.102428997	0.328573893	0.07479125	0.198967571	0.134220011	0.131349412	0	0.1718483	0.193955488	0.067383279	0.288959633	0.120953749	0.159278411	0.181944435	0.166042349	0.178534781	0.169638685	0.328150621	0.161551563	0.19651334	0.110407668	0.184202173	0.197852247	0.18727986	0.16451249	0.152875385	0.0409393	0.08214895	0.161578094	0.273326195	0.120536606	0.14625204	0.213317381	0.118843794	0.118439035	0.123538102	0.084250695	0.178134197	0.308333001	0	0.100226677	0.281171087	0.256430024	0.208454861	0.192388485	0.244866105	0.263233449	0.157918096	0.201086465	0.184987023	0.18079296	0.173727019	0.071105539	0.100324119	0.039904553	0.159915227	0.102033345	0.118488915	0.037686139	0.196996696	0.111213912	0.136786038	0.078704506
35	EFFECTOR_CD4+_MEMORY_T_(TEM)_CELL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004103089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	FOLLICULAR_HELPER_(TFH)_T_CELL	0.003736915	0.01553639	0.03019362	0	0.036243196	0.003839047	0.027654524	0.043163335	0.067988266	0.003513415	0.014831762	0.066914698	0.052114928	0.035319048	0.08697657	0	0.053963741	0	0.016771829	0.044490888	0.013507149	0.011252971	0	0.004035754	0.011982283	0.040972467	0.035656191	0.013800014	0.007136486	0.049040052	0.00979054	0.053737008	0.051319937	0.008068693	0.012818483	0.071005764	0.115029986	0	0	0.009851921	0	0.003864784	0.001815143	0.000647456	0.054567815	0	0	0.02253027	0.000209463	0.000642722	0.005157494	0	0.00370414	0.000282629	0.014226781	0.002589753	0.04384125	0.02091504	0.012467736	0.007207157	0.013907579	0.020972198	0.010000297	0.031490566	0.024547808	0.017184412	0.087024732	0.029041086	0.005036931	0	0	0.01453845	0	0	0.00102896	0.009065453	0	0.061169612	0.028406456	0.000833794	0.013292419	0.006748366	0.086450975	0	0.076519528	0.009309234	0.001207815	0	0	0.011453679	0.016425712
38	REGULATORY_T_(TREG)_CELL	0.035100246	0.033508708	0	0	0.002602362	0	0	0.050257352	0	0.031083791	0.015692319	0	0.032984258	0.004139612	0	0.022304775	0.000210655	0	0.053100715	0	0.035913632	0	0.055996598	0.015777955	0.040843727	0.013161352	0.029613846	0	0.030913635	0.057315457	0.017648289	0	0.009859347	0	0.027397868	0.047066331	0.009054385	0.014870362	0	0.026508371	0.016184999	0.060938707	0.016615102	0.001854098	0	0	0.014343459	0	0	0.011114748	0.00136638	0.0182849	0.030672192	0.032443668	0.001043243	0	0.073327543	0.02892255	0	0.022153882	0.005713695	0	0.017923383	0	0.10099615	0	0	0.065243373	0.074085798	0	0	0.010536412	0.041632057	0.007791671	0.028840171	0	0.0235119	0	0.017683663	0.001798144	0	0	0.026758934	0	0	0.019134197	0.019145606	0	0	0	0.043422739
40	GAMMA_DELTA_T_CELL	0	0	0	0	0	0.014648055	0	0	0	0	0	0	0	0	0.018692595	0	0.002145787	0	0	0	0	0	0	0.00684185	0.010149397	0	0	0	0	0	0.016121723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001167455	0	0	0.003861608	0	0	0	0	0	0	0	0	0	0.001446405	0	0	0.005704157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03742567	0	0	0	0	0	0	0	0	0	0	0	0
