UNIQUE_CELL_ID	UNIQUE_CELL_NAME	TCGA-AB-2996-03	TCGA-AB-2995-03	TCGA-AB-2994-03	TCGA-AB-2991-03	TCGA-AB-2986-03	TCGA-AB-2984-03	TCGA-AB-2964-03	TCGA-AB-2978-03	TCGA-AB-2976-03	TCGA-AB-2975-03	TCGA-AB-2973-03	TCGA-AB-2972-03	TCGA-AB-2971-03	TCGA-AB-2970-03	TCGA-AB-2969-03	TCGA-AB-2967-03	TCGA-AB-2966-03	TCGA-AB-2980-03	TCGA-AB-2819-03	TCGA-AB-2849-03	TCGA-AB-2842-03	TCGA-AB-2840-03	TCGA-AB-2839-03	TCGA-AB-2834-03	TCGA-AB-2833-03	TCGA-AB-2828-03	TCGA-AB-2826-03	TCGA-AB-2822-03	TCGA-AB-2821-03	TCGA-AB-2820-03	TCGA-AB-2959-03	TCGA-AB-2818-03	TCGA-AB-2816-03	TCGA-AB-2815-03	TCGA-AB-2814-03	TCGA-AB-2812-03	TCGA-AB-2808-03	TCGA-AB-2807-03	TCGA-AB-2806-03	TCGA-AB-2803-03	TCGA-AB-2963-03	TCGA-AB-2854-03	TCGA-AB-2853-03	TCGA-AB-2955-03	TCGA-AB-2950-03	TCGA-AB-2942-03	TCGA-AB-2937-03	TCGA-AB-2933-03	TCGA-AB-2929-03	TCGA-AB-2925-03	TCGA-AB-2917-03	TCGA-AB-2916-03	TCGA-AB-2913-03	TCGA-AB-2912-03	TCGA-AB-2911-03	TCGA-AB-2904-03	TCGA-AB-2884-03	TCGA-AB-2877-03	TCGA-AB-2870-03	TCGA-AB-2867-03	TCGA-AB-2863-03	TCGA-AB-2914-03	TCGA-AB-2946-03	TCGA-AB-2948-03	TCGA-AB-2949-03	TCGA-AB-2954-03	TCGA-AB-2982-03	TCGA-AB-2988-03	TCGA-AB-2990-03	TCGA-AB-2999-03	TCGA-AB-3000-03	TCGA-AB-3005-03	TCGA-AB-2875-03	TCGA-AB-3007-03	TCGA-AB-3008-03	TCGA-AB-2944-03	TCGA-AB-2941-03	TCGA-AB-2940-03	TCGA-AB-2939-03	TCGA-AB-2936-03	TCGA-AB-2935-03	TCGA-AB-2934-03	TCGA-AB-2932-03	TCGA-AB-2931-03	TCGA-AB-2930-03	TCGA-AB-2928-03	TCGA-AB-2927-03	TCGA-AB-2924-03	TCGA-AB-3009-03	TCGA-AB-3012-03	TCGA-AB-3011-03	TCGA-AB-2846-03	TCGA-AB-2868-03	TCGA-AB-2866-03	TCGA-AB-2865-03	TCGA-AB-2861-03	TCGA-AB-2860-03	TCGA-AB-2859-03	TCGA-AB-2858-03	TCGA-AB-2857-03	TCGA-AB-2856-03	TCGA-AB-2855-03	TCGA-AB-2851-03	TCGA-AB-2848-03	TCGA-AB-2847-03	TCGA-AB-2919-03	TCGA-AB-2845-03	TCGA-AB-2844-03	TCGA-AB-2843-03	TCGA-AB-2838-03	TCGA-AB-2837-03	TCGA-AB-2836-03	TCGA-AB-2835-03	TCGA-AB-2832-03	TCGA-AB-2830-03	TCGA-AB-2824-03	TCGA-AB-2810-03	TCGA-AB-2921-03	TCGA-AB-2871-03	TCGA-AB-2869-03	TCGA-AB-2918-03	TCGA-AB-2915-03	TCGA-AB-2910-03	TCGA-AB-2908-03	TCGA-AB-2901-03	TCGA-AB-2900-03	TCGA-AB-2899-03	TCGA-AB-2898-03	TCGA-AB-2897-03	TCGA-AB-2896-03	TCGA-AB-2895-03	TCGA-AB-2890-03	TCGA-AB-2891-03	TCGA-AB-2872-03	TCGA-AB-2874-03	TCGA-AB-2879-03	TCGA-AB-2880-03	TCGA-AB-2881-03	TCGA-AB-2882-03	TCGA-AB-2885-03	TCGA-AB-2886-03	TCGA-AB-2887-03	TCGA-AB-2888-03	TCGA-AB-2956-03	TCGA-AB-2992-03	TCGA-AB-2985-03	TCGA-AB-2903-03	TCGA-AB-2965-03	TCGA-AB-3006-03	TCGA-AB-3002-03	TCGA-AB-3001-03	TCGA-AB-2889-03	TCGA-AB-2873-03	TCGA-AB-2825-03	TCGA-AB-2805-03	TCGA-AB-2998-03	TCGA-AB-2987-03	TCGA-AB-2862-03	TCGA-AB-2817-03	TCGA-AB-2823-03	TCGA-AB-2938-03	TCGA-AB-2813-03	TCGA-AB-2983-03	TCGA-AB-2909-03	TCGA-AB-2977-03	TCGA-AB-2979-03	TCGA-AB-2952-03	TCGA-AB-2920-03	TCGA-AB-2841-03	TCGA-AB-2811-03	TCGA-AB-2943-03	TCGA-AB-2981-03	TCGA-AB-2894-03	TCGA-AB-2893-03	TCGA-AB-2883-03	TCGA-AB-2878-03	TCGA-AB-2876-03	TCGA-AB-2892-03	TCGA-AB-2993-03
4	NAIVE_B_CELL	0.140603849	0.177068206	0.028562366	0.152139756	0.127485396	0.117535261	0.066368347	0.011705359	0.086796203	0.017313439	0.056966177	0.041182633	0.005691079	0.202832197	0.019447416	0.027228837	0.102089838	0.026617468	0.127346903	0.168567718	0.021154721	0.093344598	0.046861903	0.023881095	0.016340611	0.070526372	0.013233011	0.074616807	0.144602679	0.275911273	0.266056506	0.02993625	0.026893609	0.05648084	0.096988452	0	0.146321081	0.441531011	0.254248524	0	0.011371166	0.088291023	0.102980258	0	0.242942413	0.02296038	0.274210288	0.113585191	0.125951633	0.001864526	0.080379489	0.005856191	0.281506065	0.096480297	0.033656296	0.175401401	0.092255039	0.043541494	0.015757738	0.122108401	0.016030571	0.073621665	0.011013533	0.001487976	0.117840883	0.064400696	0.303330572	0.171311893	0.139512193	0.052433073	0	0.103044199	0.067478156	0.079108995	0.160696282	0.028013265	0.077418957	0.02888531	0.054473567	0.330536605	0.025326362	0.040182573	0	0.000950498	0.141584655	0.211469731	0.180923286	0.060247051	0.149789049	0.025205171	0.243922799	0.04372549	0.084858321	0	0.008134238	0.07426006	0.162940142	0.042587803	0.090940288	0.24713964	0.189199829	0.136629667	0.04767229	0.042636833	0.054966283	0.0850429	0.04281546	0.061386135	0.146424968	0.048585369	0.017322481	0	0.014305428	0.124286363	0.194566722	0.132825209	0.012122388	0.100416498	0.116353546	0.119546966	0.055367259	0.088874145	0.079477201	0.095183292	0.03843104	0.010577501	0.282013034	0.136847335	0.050349936	0.013616295	0.053112828	0.140627276	0.077302444	0.126679561	0.073468139	0.042651893	0	0.13904177	0	0.160986383	0.235827798	0.345608491	0	0.069720282	0.099193749	0	0.031442941	0.0054319	0.025747274	0.294252789	0.158903172	0.024928417	0.059892934	0	0.034751607	0	0.075088566	0.12324638	0.216196857	0	0.104871699	0.106863068	0.16577378	0.114615397	0.000604645	0.027824865	0.114540716	0.264234423	0	0	0.193533186	0	0.079851886	0.047058593	0.045263508	0.113874213	0	0.064008692	0.042082284
2	MEMORY_B_CELL	0	0	0.008801113	0	0	0	0.045970881	0	0	0.122904464	0	0.073973165	0.024705725	0	0.005278512	0	0.169314608	0.080440693	0.078258935	0	0.007980475	0.053390146	0.08314055	0	0	0	0.001281111	0.093173452	0	0.046945856	0	0.02351036	0.022887837	0.008355752	0.130467705	0.076472905	0	0	0	0.026343285	0.020641492	0	0.010590591	0.224861924	0	0.065934671	0	0	0	0.044460834	0	0.018320896	0	0	0.022761618	0	0	0.066449967	0.061109012	0	0.081151903	0.035024574	0.097376599	0.022898404	0.071976565	0	0	0	0	0.018653813	0.26938967	0	0.095003316	0.029543364	0.294695312	0.165422644	0	0.042187771	0.114458434	0	0	0.040281144	0.01317897	0.093180689	0.131651925	0	0	0	0.147463599	0	0	0.021653232	0	0.044391611	0.05301956	0	0	0.029153408	0.006608508	0	0	0.1106538	0	0.025968726	0.046301919	0.030153055	0.179665695	0.00476176	0.070559564	0	0.018038254	0.021255376	0.014972598	0.182550342	0.112362801	0	0.055443275	0.090778266	0.057575912	0	0.109896165	0	0	0	0	0.028094601	0	0	0.024491526	0.050889308	0.108716309	0	0.025669756	0.042716746	0.026861468	0.02105416	0.195332781	0	0.025409161	0	0.015460053	0	0.037705603	0.016137645	0	0.021678807	0.041895193	0.059319792	0.128816763	0	0	0.032661616	0	0.031516972	0.007097743	0.049747052	0	0.110978208	0.118608818	0.092593734	0	0	0.079809664	0.194410956	0.055123587	0.310477602	0	0	0.048819044	0.078118123	0	0.011832721	0.130630777	0	0.088873186	0.004423066	0.079999235	0.012329881	0.061334665
16	PLASMA_CELL	0.104797376	0.169104609	0.017365242	0.100298393	0.00755429	0.175986908	0.016031042	0.141427118	0.093695806	0.117025581	0.0091008	0.037229859	0.022332608	0.093672472	0.002608818	0.016635851	0.01655692	0.002235786	0	0.193235605	0.028461926	0.090848806	0.004025603	0.011397183	0.002898665	0.020733233	0.000526686	0.083492939	0.065965376	0.007576684	0.043460464	0.002782406	0.003980905	0.002444349	0.055386544	0.018684441	0.022047149	0.141628539	0	0.024288065	0.016397354	0.079048347	0.041016098	0	0.110213065	0.003781435	0.028176666	0.04431792	0.122871078	0.011612973	0.008168437	0	0.037701509	0.046956348	0	0.123253578	0.019308793	0.024706722	0.003857621	0.00872487	0.1195289	0	0.0152644	0.005720959	0.023610099	0.010600192	0.103285955	0.107084357	0.131335786	0.021348092	0	0.062854383	0.006296482	0.052818892	0.055214705	0.113876573	0.018395067	0.126612509	0.038197535	0.029326081	0.08887163	0.010963381	0.010103004	0.060458648	0.01772333	0.111619565	0.027512611	0.014679642	0.077509658	0.033643539	0.105354208	0.03368587	0.162052564	0	0	0.076354275	0.215992171	0.031546598	0.026197946	0.032187875	0.081849891	0.10874248	0.007887304	0.00324859	0.128862756	0.169629164	0.119937001	0.019023091	0.042236972	0.025761118	0.001753806	0.013340134	0.02211481	0.088223368	0	0.054516541	0.02731796	0	0.02758366	0.103979083	0.012563298	0.020224184	0.06236116	0.168919882	0.012784078	0.01571351	0.071450775	0.051638797	0.061420669	0.06462454	0.156460495	0.029303825	0.180856512	0.131409323	0.052275886	0.15278441	0	0	0.026580142	0.040897031	0	0.063858565	0	0.009768949	0.063678331	0.004645067	0.010130929	0	0.071459385	0.116957806	0.106609679	0.015200247	0.020709937	0.004108419	0.001249164	0.042973424	0	0.023019527	0	0.012495859	0.05245408	0.095851446	0.041428812	0.013218012	0.037159092	0.034302178	0.037793491	0.170784933	0.030284847	0.068993949	0.073248448	0.006166374	0	0.011260179	0.113985432	0.160411902	0.004274955	0	0.089266358
39	CD8+_CYTOTOXIC_T_LYMPHOCYTE	0.023313603	0.118191284	0.06015399	0.030115419	0.148502076	0.043798648	0.094296538	0.030145234	0.002570285	0.179788584	0.012724263	0.081648773	0.062563909	0.030718816	0.019347248	0	0.052357809	0.082647124	0.102929742	0	0.038720385	0.061164391	0	0	0.004188172	0	0	0.070704961	0	0	0.014517969	0.004880353	0.013778022	0	0.139966763	0.011098713	0	0.009784054	0.005609525	0.012141366	0.014481707	0.029392493	0.020097277	0.026365521	0.064245407	0.029031958	0.042956726	0.015186155	0.035061891	0.011076848	0.021590656	0.0114659	0.016408832	0	0.010534038	0.093493842	0.038783756	0.164146895	0.014513363	0.160548806	0.031546893	0.024017973	0	0.012482716	0.020151109	0	0.207961746	0	0.059135626	0.07560475	0.009258085	0.02613207	0.08991973	0.134340238	0	0.057641735	0.0038883	0.004677086	0.010927493	0.046433976	0.063626187	0	0.006154429	0.019437846	0.014205801	0.099607702	0.018326231	0	0.085529823	0.00581808	0.020316289	0	0.025623458	0.05296	0.043793954	0.004249622	0.043968812	0.158572863	0.051676205	0.083928312	0.010906008	0.022450586	0	0.00913718	0.062094461	0.11386332	0.012401003	0	0.0079642	0.035373397	0.027201021	0.051316827	0.017253388	0.006504258	0.026784367	0.055216966	0.06843998	0	0.160582498	0.007154702	0.005434752	0.10179114	0	0.147338759	0.062594175	0.001133019	0.030598619	0.024321117	0.077987194	0.016376223	0.009551036	0.102032026	0.003732826	0.098941615	0	0.026091577	0	0.052315599	0.039810398	0.125282638	0.030335966	0.018908274	0.020296255	0.033674128	0	0.032339736	0	0.021692498	0.051398433	0.018404632	0.108252324	0.016133148	0.002447667	0.001491309	0	0.034720471	0.047110014	0.022938037	0.01477414	0.086828467	0.11803917	0.001096523	0.028194352	0.011244141	0.01509145	0.020131112	0.072514058	0.087064289	0.028388872	0.01476436	0.050115276	0	0.047075691	0.008155358	0.09466611	0.010833118	0.007840713	0	0
23	NAIVE_CD4+_T_CELL	0	0	0.077684588	0	0	0	0	0	0.000374949	0	0.008608728	0.017614197	0.040478652	0.011450914	0.006317857	0.03193692	0.140836357	0.15430426	0	0.126171293	0.026523196	0.007561313	0	0	0.018994094	0.017704999	0.006664889	0.136680332	0	0.069283219	0	0.048237313	0.034422979	0	0	0	0.024009208	0	0	0.008771694	0.066163395	0	0.08641668	0.038509998	0	0	0	0.074311437	0.134437751	0.013258486	0	0.049846085	0.019824108	0	0.014928503	0	0	0.019133482	0	0.046216092	0.036557137	0.028814891	0.007164099	0.018849544	0.046289097	0.016075192	0	0	0	0	0.006680418	0	0.068782916	0.001407934	0.013249469	0	0.020908377	0.015798671	0	0.024114431	0	0.005651917	0.018132785	0.014069631	0.042666922	0	0	0.00323561	0.223045698	0	0	0	0.05464837	0.020580308	0	0	0	0.131519177	0	0	0.066527442	0	0.02852858	0.060793857	0	0.083002157	0	0	0	0	0.005915693	0	0	0.103277701	0	0	0	0.010915358	0.023119017	0	0.046627797	0	0.024038732	0	0	0	0	0	0.054179768	0.000398915	0	0	0.029932928	0	0	0.064627256	0.032057525	0	0	0	0	0	0.036367655	0.013703862	0.006558916	0.029578353	0.063175891	0.024620328	0.020119559	0	0	0	0.001864348	0.019165815	0.017937578	0	0	0.076049868	0	0	0	0	0.027370878	0	0.034139831	0	0	0.061304061	0	0.0320776	0	0.006553005	0	0	0.018733477	0	0	0.001547496	0
33	CENTRAL_CD4+_MEMORY_T_(TCM)_CELL	0.04210972	0.301721185	0	0.146242813	0.146465311	0.140884667	0.171559449	0.161551418	0.17811569	0.116995348	0.04038529	0.318088325	0.072757702	0	0.00747566	0.053983432	0.246550862	0.206948457	0.226668098	0.201860873	0.016275927	0.091202846	0.140699106	0.085556696	0.001029405	0.023693367	0.044418706	0.126667895	0.239551913	0.054922675	0.332795401	0	0.029443926	0.057559667	0.189130794	0.108816681	0.038680195	0.145439158	0.230883639	0.06894562	0.03354383	0.068662295	0.075995189	0	0.198355533	0.160719068	0.194119409	0	0.078688981	0	0.152040755	0.065066237	0.201702148	0.071765005	0.064245539	0.301203083	0.117407193	0	0.105576036	0.115608647	0.071592242	0.096699468	0.068696204	0	0.104180841	0.048773507	0.02561388	0.154111518	0.148246748	0.152032365	0.064872512	0.099278564	0.157934757	0.135555691	0.128396911	0.171844491	0.175012142	0.10192581	0.076954363	0.267573756	0.153594694	0.09634308	0.011767206	0.065307656	0.019393783	0.263683657	0.184033056	0.079077452	0	0.062660238	0.183466436	0.077844132	0.19065361	0	0.077717484	0.111896346	0.066304332	0.195770848	0.199191524	0.100528811	0	0.045762018	0.021322263	0.01902733	0.111843002	0.043613675	0.07155128	0.079520735	0.136262878	0.108632015	0	0	0.048222223	0	0.335391267	0.061132484	0.105927045	0.071927368	0.291044142	0.260343562	0.011486951	0.109155811	0.045977524	0.155053965	0.055046175	0.057429736	0.079042156	0.152166351	0.007135451	0.108188675	0.245242798	0.136940955	0.082115602	0.105130945	0.163853263	0.106597576	0.035804211	0.171422191	0.173123416	0.217933169	0.201287928	0.150070621	0.083168459	0.020849188	0.046254205	0	0.10507507	0	0.130237542	0.132837602	0.159263251	0.132522432	0.078813438	0.024233004	0.037036403	0.080228682	0.107866198	0.120188078	0.084920887	0.102278895	0.273485325	0.033004267	0.078382479	0.240479154	0.028125344	0.137505116	0.134747208	0.108615121	0.079941079	0.024248433	0.33839632	0.010784415	0.144797681	0.049209708	0	0.194921456	0.099216303	0.069372906	0.109217839
35	EFFECTOR_CD4+_MEMORY_T_(TEM)_CELL	0.01382062	0	0	0	0	0	0	0	0	0	0.001753605	0	0.009026936	0.013262474	0	0.004272858	0	0.016772882	0	0	0.006360634	0.000565283	0	0.001542077	0.004045148	0	0.005615489	0	0	0	0	0	0	0.005959908	0	0	0	0.012145444	0	0	0	0	0.006957933	0.004166224	0	0	0	0.047238668	0.030240983	0.007792294	0	0.000972726	0	0.011102386	0	0	0.001455882	0.002548117	0	0.007567164	0.004085617	0.01481553	0	0	0	0	0.008403182	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005478094	0	0.002403688	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015193862	0	0	0	0	0.006134882	0	0	0	0	0.013843332	0	0.011332906	0	0	0	0	0	0	0	0	0	0	0	0	0.0000543	0	0	0	0	0.000653566	0	0	0	0	0.017405231	0	0	0	0	0	0.001438882	0.034424123	0	0	0	0	0.001609807	0	0.010887465	0	0.012953887	0	0	0	0	0	0.0006213	0	0	0.02007684	0	0	0	0	0	0	0.006867866	0	0	0	0	0.006030317	0	0	0.001373078	0	0	0.004776933	0	0	0.005558739	0
31	FOLLICULAR_HELPER_(TFH)_T_CELL	0	0	0	0.023793678	0	0.012143049	0	0	0	0.012066004	0	0.019250165	0	0	0	0	0	0.004989584	0.00044812	0.025933223	0	0.006111507	0	0	0	0	0	0.008536261	0	0	0	0	0	0	0.006915136	0	0	0	0	0	0	0.011224607	0	0.007196662	0.005466486	0.013642434	0	0	0	0.009774277	0	0	0	0	0	0.016308825	0	0.008064538	0.013506838	0	0.009021058	0	0.008096051	0.005778012	0.012020481	0	0.040234703	0	0.000311232	0.008249961	0	0.006306587	0	0.01387454	0	0.026688666	0	0	0.006592638	0	0	0	0	0	0.015803002	0	0	0	0.017766991	0.002922479	0.038593615	0.003452792	0	0.008837688	0.008737117	0	0.009173058	0	0.000096	0.024652073	0	0	0	0	0.017933351	0.017960894	0	0	0	0	0	0.008839716	0.000221309	0	0	0.003776099	0.003877746	0	0	0	0.009425564	0.001851616	0	0.046571773	0.006148832	0	0.00454328	0	0.006515661	0	0	0	0	0	0	0.007829357	0	0	0	0.002941516	0	0	0	0	0	0	0	0	0.011264574	0.007271495	0.063697036	0	0	0	0	0.001683276	0	0.029775906	0	0.014297736	0.012813943	0.001074833	0	0.008286268	0.000331333	0.00574611	0	0	0.014833209	0	0.00086178	0	0	0	0	0.007806862	0	0	0
38	REGULATORY_T_(TREG)_CELL	0.019081299	0.015295247	0.012342945	0	0.014882873	0	0.006686212	0	0	0	0	0	0	0.006456668	0.003093312	0	0	0	0.010351598	0.010139471	0	0	0	0	0	0	0	0	0	0	0	0.004789342	0	0	0	0	0	0	0	0	0	0	0	0.000605405	0	0	0	0	0.011218523	0	0	0	0	0	0	0	0	0.015935434	0	0	0	0	0	0.005754636	0	0	0.010021436	0	0	0	0	0	0	0	0	0	0	0	0	0.002913025	0	0	0	0.008183436	0	0	0	0	0	0	0	0	0.004987643	0	0	0	0	0.034169606	0	0	0	0	0	0	0	0	0	0	0.009033563	0.002690869	0.000960796	0.009383156	0	0	0	0	0	0	0	0	0	0.004023997	0	0	0	0	0	0	0	0	0	0.007757419	0	0	0	0	0	0	0.009084122	0	0	0	0	0	0	0.001999033	0	0	0	0	0	0	0	0	0	0	0.003589897	0	0	0	0.018991994	0	0	0	0.017391586	0	0.015055212	0.007017545	0.000936344	0.003577439	0	0	0	0	0.009415651	0	0	0	0
40	GAMMA_DELTA_T_CELL	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00272442	0	0	0	0	0	0.027491286	0	0	0	0	0	0	0	0	0	0	0	0.001871499	0	0	0	0	0	0	0	0	0	0	0	0.087186014	0	0	0	0	0	0.001655153	0	0	0	0.001411387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065162983	0	0	0.015533523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000251236	0	0	0	0	0.01937497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006417376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011422026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012557343	0	0	0.001761449	0
